cntry.code,country,PA.H,PA.C,Eco.H,EcoC,GDP,MCI,Rank,Performer
MNG,Mongolia,21.54,15.18,140.44,200.62,0.00137,85.14,32,above.average
MNE,Montenegro,0.01,0.08,5.93,109.47,1.00E-05,27.22,138,underperformer
MAR,Morocco,2.89,4.02,15.23,102.34,4.00E-04,65.16,100,below.average
MOZ,Mozambique,6.07,6.07,716,356.62,0.00931,90.33,15,performer
MMR,Myanmar,6.93,7.72,194.31,361.99,0.00023,77.97,63,above.average
NAM,Namibia,12.15,12.15,634.99,323.19,0.07233,98.95,2,performer
NPL,Nepal,5.26,8.23,130.12,292.69,0.00279,82.43,44,above.average
NLD,Netherlands,16.17,0.01,21.36,0.01,0.01255,39.08,126,underperformer
NIC,Nicaragua,3.72,6.07,79.9,169.54,0.00294,78.06,62,above.average
NER,Niger,6.06,15.8,8.01,177.59,0.00055,71.37,79,above.average
NGA,Nigeria,3.69,3.01,174.43,208.1,0.00043,73.65,75,above.average
NOR,Norway,16.95,22.96,167.5,100.3,0.0493,93.82,6,performer
OMN,Oman,0.01,2.41,0.01,183.61,1.00E-05,20.63,144,underperformer
PAK,Pakistan,6.62,4.57,15.43,222.35,3.00E-05,62.88,104,below.average
PAN,Panama,11.06,11.03,97.2,153.41,0.0039,83.59,37,above.average
PRY,Paraguay,2.76,2.43,86.67,206.74,4.00E-04,70.24,83,above.average
PER,Peru,8,7.14,66.52,185.03,0.00111,77.68,65,above.average
PHL,Philippines,20.82,0.01,26.39,0.01,0.00044,31.32,132,underperformer
POL,Poland,1.17,2.16,175.72,45.07,0.00207,69.82,84,above.average
PRT,Portugal,0.11,3.14,9.88,22.18,0.02392,61.42,108,below.average
QAT,Qatar,0.01,0.01,0.01,194.43,0.00012,12.71,148,underperformer
COG,Congo,9.47,9.29,309.55,123.66,0.00092,81.37,49,above.average
ROU,Romania,2.07,3.93,99.47,105.54,0.00065,70.6,82,above.average
RUS,Russia,6.56,6.53,146.5,287.76,0.002,81.78,46,above.average
RWA,Rwanda,9.04,9.04,255.07,226.59,0.05532,93.26,10,performer
SMR,San Marino,0.01,0.01,20.1,0.01,1.00E-05,0,152,underperformer
SAU,Saudi Arabia,0.01,2.19,0.2,159.48,0.00309,43.41,122,below.average
SEN,Senegal,19.6,10.56,110.25,286.68,0.00486,87.61,24,above.average
SRB,Serbia,3.77,4.43,57.28,46.39,0.01329,76.93,67,above.average
SLE,Sierra Leone,2.85,2.82,325.88,282.21,1.00E-04,71.47,78,above.average
SVK,Slovakia,6.81,9.67,100.98,141.58,0.00491,82.44,43,above.average
SVN,Slovenia,4.98,6.75,99.96,75.92,0.00603,79.5,56,above.average
SOM,Somalia,0.01,0.01,45.18,340.99,1.00E-05,30.14,133,underperformer
ZAF,South Africa,0.02,0.02,660.55,241.63,0.01456,59.64,112,below.average
KOR,Korea South,6.96,6.95,93.93,177.46,0.0046,81.85,45,above.average
ESP,Spain,2.68,3.37,80.45,22.89,0.00489,71.62,77,above.average
LKA,Sri Lanka,28.76,41.56,148.24,88.73,0.00144,86.7,27,above.average
SDN,Sudan,2.63,0.59,33.16,153.23,0.00217,67.44,94,above.average
SUR,Suriname,10.08,10.09,99.76,285.41,1.00E-05,68.85,88,above.average
SWZ,Swaziland,4.84,4.84,864.73,292.37,1.00E-05,70.77,81,above.average
SWE,Sweden,9.83,10.75,139.92,164.16,0.03519,90.26,16,performer
CHE,Switzerland,7.35,9.41,100,42.03,0.06499,86.22,29,above.average
SYR,Syria,0.01,0.01,0.01,199.12,1.00E-05,6.15,150,underperformer
TWN,Taiwan,19.79,72.78,98,18.62,0.00579,85.64,30,above.average
TJK,Tajikistan,25.89,18.45,96.18,365.76,1.00E-04,79.65,55,above.average
TZA,Tanzania,17.21,17.18,826.4,459.78,0.00839,96.69,3,performer
THA,Thailand,31.4,33.47,95.3,147.9,0.00691,90.74,13,performer
TGO,Togo,7.39,7.27,407.54,287.9,0.00523,87.71,23,above.average
TUN,Tunisia,1.67,0.27,15.36,99.41,0.00401,62.55,107,below.average
TUR,Turkey,0.01,0.01,72.2,186.68,0.00113,42.45,124,below.average
TKM,Turkmenistan,11.91,2.95,3.34,169.16,0.00052,66.08,98,below.average
UGA,Uganda,8.24,8.24,452.62,348.66,0.00474,88.87,21,above.average
UKR,Ukraine,4.74,2.8,34.14,73.49,0.0086,74.99,71,above.average
ARE,United Arab Emirates,0.01,0.01,0.01,137.11,1.00E-05,5.15,151,underperformer
GBR,United Kingdom,9.11,0.01,71.8,0.01,0.03192,43.29,123,below.average
USA,United States,19.43,13.82,49.65,116.15,0.04798,89.89,19,performer
URY,Uruguay,0.01,0.02,0.01,32.37,0.00084,15.01,146,underperformer
UZB,Uzbekistan,5.7,2.07,29.64,133.23,5.00E-04,68.28,92,above.average
VEN,Venezuela,15.21,16.18,87.48,184.5,0.00343,85.34,31,above.average
VNM,Vietnam,5.25,6.32,97.26,142.86,0.00073,75.43,69,above.average
YEM,Yemen,0.01,0.01,0.01,193.09,0.00014,13.05,147,underperformer
ZMB,Zambia,8.1,8.1,867.17,346,0.01418,93.43,9,performer
ZWE,Zimbabwe,6.89,6.89,876.62,373.83,0.04554,95.93,5,performer
